dong,area,price
광주광역시 서구 풍암동,60,15050
광주광역시 남구 봉선동,84.64,24700
광주광역시 동구 계림동,84.9738,49800
광주광역시 북구 오치동,31.32,4000
광주광역시 서구 금호동,127.34,46500
광주광역시 서구 동천동,84.95,33000
광주광역시 서구 동천동,84.95,31000
광주광역시 남구 행암동,84.3565,34500
광주광역시 서구 화정동,84.97,47700
광주광역시 서구 화정동,59.83,17000
광주광역시 북구 각화동,84.9442,40900
광주광역시 북구 동림동,74.7877,35300
광주광역시 북구 신용동,84.9419,50600
광주광역시 북구 용두동,84.7,37900
광주광역시 광산구 장덕동,84.9649,52800
광주광역시 광산구 우산동,49.14,12000
광주광역시 광산구 신창동,84.7886,21500
광주광역시 북구 신용동,65.6043,37900
광주광역시 광산구 월계동,59.997,20600
광주광역시 북구 신용동,65.6043,37900
광주광역시 광산구 신창동,84.9106,24800
광주광역시 광산구 신창동,84.7886,24900
광주광역시 북구 신용동,84.2363,48500
광주광역시 광산구 운남동,59.91,14600
광주광역시 광산구 장덕동,84.9423,35500
광주광역시 광산구 산정동,116.139,53000
광주광역시 광산구 신가동,59.81,17950
광주광역시 광산구 장덕동,84.9871,46500
광주광역시 북구 양산동,84.93,20000
광주광역시 북구 양산동,59.985,17200
광주광역시 광산구 장덕동,84.9423,33900
광주광역시 광산구 소촌동,58.14,8000
광주광역시 북구 각화동,72.9796,36000
광주광역시 남구 주월동,84.9717,50300
광주광역시 서구 풍암동,59.79,16300
광주광역시 동구 학동,84.96,31300
광주광역시 북구 문흥동,59.91,10000
광주광역시 북구 일곡동,59.36,14500
광주광역시 남구 임암동,84.9772,40000
광주광역시 북구 풍향동,84.9842,48000
광주광역시 동구 소태동,73.906,38800
광주광역시 서구 내방동,84.03,27400
광주광역시 북구 오치동,84.94,16000
광주광역시 북구 동림동,84.981,21000
광주광역시 서구 쌍촌동,59.8276,27000
광주광역시 남구 진월동,84.9936,36700
광주광역시 북구 두암동,60,10300
광주광역시 서구 화정동,84.98,44300
광주광역시 남구 봉선동,41.47,14500
광주광역시 남구 봉선동,119.1,28000
광주광역시 서구 풍암동,59.955,17000
광주광역시 서구 풍암동,59.28,17200
광주광역시 북구 동림동,64.2602,30500
광주광역시 북구 각화동,84.9442,43300
광주광역시 남구 방림동,51.85,24700
광주광역시 동구 학동,40.5,8000
광주광역시 북구 오치동,59.97,11900
광주광역시 서구 유촌동,84.87,25350
광주광역시 서구 금호동,84.9831,27500
광주광역시 동구 계림동,106.9938,64000
광주광역시 동구 계림동,39.862,16500
광주광역시 남구 지석동,84.9892,44000
광주광역시 서구 쌍촌동,84.9,24000
광주광역시 광산구 신창동,84.6799,36000
광주광역시 광산구 산정동,49.77,9750
광주광역시 북구 신용동,84.9442,40900
광주광역시 광산구 신가동,84.9931,28500
광주광역시 북구 용두동,84.9821,42500
광주광역시 북구 용두동,59.98,25200
광주광역시 광산구 장덕동,74.9851,35500
광주광역시 광산구 도산동,60,10200
광주광역시 북구 연제동,73.4639,32500
광주광역시 광산구 장덕동,84.9612,33500
광주광역시 북구 신용동,84.9697,45500
광주광역시 북구 신용동,65.5173,32900
광주광역시 남구 월산동,84.8942,35000
광주광역시 동구 용산동,84.9717,45000
광주광역시 서구 화정동,84.97,48500
광주광역시 서구 풍암동,59.28,17000
광주광역시 북구 중흥동,77.1872,31500
광주광역시 남구 봉선동,84.9639,83000
광주광역시 서구 화정동,76.9341,55500
광주광역시 서구 쌍촌동,84.945,19100
광주광역시 서구 금호동,84.9831,28700
광주광역시 서구 금호동,84.9831,31300
광주광역시 북구 신안동,59.37,8250
광주광역시 동구 계림동,28.7425,7700
광주광역시 북구 운암동,59.97,17000
광주광역시 서구 화정동,76.9612,58800
광주광역시 북구 오치동,59.78,12000
광주광역시 동구 계림동,84.9706,54000
광주광역시 서구 화정동,84.98,44400
광주광역시 서구 쌍촌동,73.3745,34500
광주광역시 북구 각화동,59.9889,26000
광주광역시 북구 삼각동,84.87,13900
광주광역시 서구 쌍촌동,84.9543,40000
광주광역시 동구 월남동,59.9963,22000
광주광역시 북구 일곡동,59.36,15300
광주광역시 남구 진월동,59.98,17300
광주광역시 북구 매곡동,49.6513,12000
광주광역시 북구 문흥동,59.99,11200
광주광역시 동구 산수동,64.5262,37700
광주광역시 북구 용두동,84.9712,40000
광주광역시 광산구 운남동,59.76,17500
광주광역시 북구 양산동,37.83,7100
광주광역시 북구 신용동,137.3914,56000
광주광역시 광산구 장덕동,84.9129,44500
광주광역시 북구 신용동,59.99,15250
광주광역시 광산구 장덕동,84.9423,34300
광주광역시 광산구 선암동,78.0887,30500
광주광역시 북구 양산동,84.9662,32200
광주광역시 광산구 장덕동,84.9612,36500
광주광역시 광산구 운남동,84.9895,42800
광주광역시 북구 양산동,84.9662,35000
광주광역시 광산구 도산동,70.8633,31500
광주광역시 광산구 장덕동,84.6782,46000
광주광역시 광산구 하남동,84.9817,40000
광주광역시 광산구 송정동,77.15,22300
광주광역시 광산구 장덕동,84.9871,48300
