dong,area,rent_type,deposit,monthly_rent
광주광역시 서구 풍암동,59.79,전세,15200,0
광주광역시 동구 선교동,59.9583,전세,20000,0
광주광역시 서구 동천동,51.86,월세,4657,9
광주광역시 동구 충장로5가,59.9682,월세,1000,90
광주광역시 서구 치평동,59.9,전세,17800,0
광주광역시 북구 용봉동,59.64,월세,2453,26
광주광역시 북구 용봉동,65.4333,전세,25000,0
광주광역시 남구 행암동,84.3565,전세,24000,0
광주광역시 서구 농성동,59.8246,전세,18800,0
광주광역시 남구 주월동,84.9476,전세,28000,0
광주광역시 북구 중흥동,59.9863,전세,18500,0
광주광역시 동구 계림동,39.911,전세,19800,0
광주광역시 동구 계림동,75.9867,전세,26000,0
광주광역시 북구 동림동,41.8588,전세,17000,0
광주광역시 광산구 장덕동,51.26,월세,3406,19
광주광역시 광산구 장덕동,51.26,월세,3406,19
광주광역시 광산구 장덕동,51.82,월세,3406,19
광주광역시 광산구 우산동,59.2255,전세,19400,0
광주광역시 광산구 우산동,16.35,월세,1400,7
광주광역시 광산구 장덕동,46.9,월세,2751,15
광주광역시 광산구 산정동,49.9618,월세,3088,18
광주광역시 광산구 월곡동,60,전세,7596,0
광주광역시 남구 방림동,84.9,월세,5000,80
광주광역시 남구 임암동,84.9947,월세,5000,90
광주광역시 북구 신안동,84.8826,전세,30000,0
광주광역시 남구 진월동,130.8746,전세,48000,0
광주광역시 동구 선교동,59.9583,전세,20000,0
광주광역시 남구 봉선동,59.918,전세,7000,0
광주광역시 서구 치평동,59.76,전세,14000,0
광주광역시 광산구 신가동,84.6075,전세,36000,0
광주광역시 북구 운암동,84.5044,전세,37000,0
광주광역시 광산구 수완동,84.9382,월세,15000,120
광주광역시 광산구 월계동,19.9836,월세,400,37
광주광역시 북구 용두동,84.9607,전세,30000,0
광주광역시 광산구 도산동,79.6397,월세,1000,80
광주광역시 북구 동림동,63.4644,월세,2500,90
광주광역시 광산구 신촌동,84.9181,전세,13500,0
광주광역시 광산구 선암동,79.0078,월세,1000,110
광주광역시 광산구 선암동,72.6814,전세,26000,0
광주광역시 북구 일곡동,59.94,전세,13900,0
광주광역시 북구 일곡동,48.45,전세,10000,0
광주광역시 광산구 우산동,84.8642,전세,29800,0
광주광역시 광산구 우산동,36.02,월세,2637,16
광주광역시 광산구 우산동,84.9784,전세,26250,0
광주광역시 북구 신용동,59.99,월세,2000,55
광주광역시 북구 용두동,72.9962,월세,3000,100
광주광역시 광산구 장덕동,46.9,월세,2724,15
광주광역시 광산구 선암동,70.6751,월세,3000,85
광주광역시 광산구 운남동,49.83,전세,11000,0
광주광역시 광산구 선암동,79.0078,전세,23000,0
광주광역시 광산구 월곡동,47.21,전세,6500,0
광주광역시 광산구 월곡동,60,전세,7596,0
광주광역시 동구 내남동,84.988,월세,20265,5
광주광역시 동구 계림동,39.911,전세,19800,0
광주광역시 서구 동천동,46.22,월세,2582,14
광주광역시 서구 쌍촌동,131.25,전세,25000,0
광주광역시 동구 소태동,73.8853,월세,3000,50
광주광역시 남구 백운동,84.82,전세,12000,0
광주광역시 남구 봉선동,31.8,월세,1000,30
광주광역시 남구 봉선동,84.96,전세,16800,0
광주광역시 서구 화정동,59.85,전세,12000,0
광주광역시 서구 화정동,84.9596,전세,41000,0
광주광역시 남구 진월동,84.41,전세,14000,0
광주광역시 북구 임동,84.9688,전세,45000,0
광주광역시 서구 치평동,59.69,전세,18000,0
광주광역시 남구 임암동,84.9772,월세,5000,100
광주광역시 북구 중흥동,36.48,월세,3103,15
광주광역시 북구 임동,51.94,월세,200,30
광주광역시 광산구 운남동,49.83,월세,1000,52
광주광역시 북구 연제동,84.9934,전세,30000,0
광주광역시 북구 문흥동,84.99,전세,16000,0
광주광역시 북구 일곡동,48.45,월세,500,40
광주광역시 북구 일곡동,59.36,전세,13950,0
광주광역시 광산구 신창동,68.8307,전세,20000,0
광주광역시 북구 우산동,39.9687,전세,19600,0
광주광역시 북구 운암동,119.1576,월세,3000,120
광주광역시 북구 동림동,49.9742,전세,20000,0
광주광역시 광산구 쌍암동,110.8773,전세,53500,0
광주광역시 광산구 쌍암동,22.1404,월세,500,38
광주광역시 광산구 선암동,79.0078,월세,3000,90
광주광역시 광산구 산월동,83.7154,전세,22000,0
광주광역시 북구 각화동,84.9987,월세,5000,105
광주광역시 광산구 월계동,19.9836,월세,500,40
광주광역시 광산구 월계동,59.82,월세,1000,60
광주광역시 광산구 월계동,122.06,월세,8000,60
광주광역시 광산구 월계동,59.997,전세,11000,0
광주광역시 북구 삼각동,59.82,전세,14000,0
광주광역시 동구 소태동,59.9834,전세,23000,0
광주광역시 서구 금호동,84.96,전세,22000,0
광주광역시 동구 계림동,84.9765,전세,29000,0
광주광역시 서구 쌍촌동,73.3745,전세,28000,0
광주광역시 동구 선교동,84.953,전세,23000,0
광주광역시 서구 농성동,19.7906,월세,300,34
광주광역시 동구 학동,117.9841,전세,63000,0
광주광역시 북구 중흥동,84.88,월세,5000,130
광주광역시 남구 봉선동,84.9639,전세,56000,0
광주광역시 남구 방림동,83.91,전세,15000,0
광주광역시 서구 풍암동,59.79,전세,14000,0
광주광역시 서구 쌍촌동,50.16,월세,1000,45
광주광역시 광산구 월곡동,49.32,월세,500,50
광주광역시 광산구 월곡동,60,전세,7596,0
광주광역시 광산구 산정동,49.3114,월세,3088,18
광주광역시 북구 본촌동,64.8467,전세,24000,0
광주광역시 서구 양동,59.85,월세,1000,45
광주광역시 광산구 월곡동,60,월세,5536,21
광주광역시 광산구 산정동,60,월세,500,60
광주광역시 광산구 산정동,59.5964,월세,3759,26
광주광역시 광산구 운남동,58.14,전세,11000,0
광주광역시 광산구 운남동,84.28,전세,23000,0
광주광역시 광산구 쌍암동,84.95,전세,40000,0
광주광역시 광산구 쌍암동,84.4289,전세,24380,0
광주광역시 북구 동림동,41.8588,전세,20180,0
광주광역시 광산구 장덕동,46.9,월세,3268,18
광주광역시 북구 연제동,59.95,월세,1000,40
광주광역시 광산구 장덕동,46.9,월세,2724,15
광주광역시 광산구 장덕동,84.2801,월세,2000,65
광주광역시 북구 용두동,84.76,전세,27000,0
광주광역시 북구 동림동,45.6421,전세,18000,0
광주광역시 광산구 도산동,39.69,전세,7000,0
광주광역시 북구 문흥동,59.76,월세,7600,2
광주광역시 북구 문흥동,127.691,전세,30000,0
광주광역시 광산구 월계동,59.83,월세,500,60
광주광역시 광산구 월계동,60,전세,13500,0
광주광역시 북구 오치동,48.19,전세,9160,0
광주광역시 북구 오치동,133.9537,전세,33000,0
광주광역시 광산구 신가동,46.9,월세,2748,15
광주광역시 광산구 산월동,72.504,전세,17000,0
광주광역시 광산구 도산동,84.9538,전세,25000,0
광주광역시 북구 신용동,60.4624,전세,22000,0
광주광역시 광산구 운남동,39.87,월세,3348,8
광주광역시 광산구 운남동,59.76,전세,12000,0
광주광역시 남구 봉선동,59.97,월세,5000,50
광주광역시 동구 내남동,84.9897,월세,21980,5
광주광역시 서구 금호동,84.7741,전세,33000,0
광주광역시 동구 수기동,29.4119,전세,8400,0
광주광역시 남구 양림동,46.53,월세,4076,23
광주광역시 동구 계림동,39.911,전세,20500,0
광주광역시 서구 마륵동,84.6701,월세,5000,100
광주광역시 남구 지석동,84.9892,전세,22500,0
광주광역시 서구 풍암동,33.7075,월세,500,40
광주광역시 남구 주월동,59.4,월세,2000,40
광주광역시 남구 주월동,75.0659,월세,7000,80
광주광역시 남구 주월동,59.94,월세,1000,45
광주광역시 서구 풍암동,60,전세,13000,0
광주광역시 서구 유촌동,59.97,월세,1000,70
광주광역시 서구 쌍촌동,125.4,전세,79000,0
광주광역시 서구 치평동,17.1728,월세,300,40
광주광역시 북구 중흥동,39.99,전세,19500,0
광주광역시 동구 내남동,59.9156,월세,16941,4
광주광역시 서구 치평동,84.93,전세,26000,0
광주광역시 서구 금호동,84.7555,전세,20500,0
광주광역시 서구 금호동,59.94,월세,1500,60
광주광역시 동구 궁동,107.4174,전세,29000,0
광주광역시 남구 봉선동,84.83,전세,28000,0
광주광역시 남구 봉선동,59.76,월세,1000,55
광주광역시 남구 진월동,59.76,전세,12600,0
광주광역시 남구 주월동,84.9204,전세,25000,0
광주광역시 동구 내남동,84.988,월세,20050,5
광주광역시 남구 임암동,84.9772,전세,32000,0
광주광역시 남구 임암동,84.9772,전세,32000,0
광주광역시 서구 쌍촌동,63.771,전세,18000,0
광주광역시 서구 쌍촌동,84.8314,월세,9500,20
광주광역시 서구 쌍촌동,84.9977,전세,31000,0
광주광역시 동구 용산동,84.9512,전세,25000,0
광주광역시 동구 용산동,59.606,월세,19830,10
광주광역시 북구 중흥동,39.99,전세,19890,0
광주광역시 서구 치평동,59.94,전세,16000,0
광주광역시 서구 치평동,59.94,전세,16500,0
광주광역시 북구 신안동,69.34,전세,11000,0
광주광역시 서구 화정동,84.98,월세,5000,100
광주광역시 서구 화정동,84.9893,전세,33000,0
광주광역시 남구 월산동,76.14,전세,8500,0
광주광역시 서구 금호동,49.86,전세,11700,0
광주광역시 남구 노대동,46.9,월세,3946,7
광주광역시 북구 용봉동,80.25,월세,1000,40
광주광역시 서구 농성동,84.9725,전세,43500,0
광주광역시 광산구 산정동,48.048,월세,3088,18
광주광역시 광산구 산정동,49.9618,월세,3088,18
광주광역시 광산구 선암동,79.0078,전세,24700,0
광주광역시 광산구 신가동,84.9173,전세,39000,0
광주광역시 광산구 신가동,51.93,월세,3504,19
광주광역시 광산구 신창동,68.4658,전세,20000,0
광주광역시 북구 운암동,64.44,월세,1000,40
광주광역시 광산구 선암동,79.0078,전세,23000,0
광주광역시 광산구 선암동,79.0014,월세,3000,75
광주광역시 광산구 월계동,60,월세,5000,35
광주광역시 광산구 월계동,59.997,월세,5000,32
광주광역시 광산구 월계동,60,월세,1000,50
광주광역시 광산구 월계동,92.115,전세,19500,0
광주광역시 광산구 우산동,84.8642,전세,29800,0
광주광역시 광산구 우산동,38.64,월세,300,35
광주광역시 광산구 우산동,59.2255,전세,28800,0
광주광역시 광산구 우산동,49.14,전세,8900,0
광주광역시 광산구 비아동,59.88,월세,7000,20
광주광역시 광산구 소촌동,59.713,월세,2000,60
광주광역시 북구 삼각동,74.1967,전세,27000,0
광주광역시 북구 신용동,84.3616,월세,2500,70
광주광역시 북구 신용동,84.99,전세,38000,0
광주광역시 북구 오치동,32.85,월세,300,20
광주광역시 광산구 장덕동,51.26,월세,3473,19
광주광역시 북구 각화동,76.7843,전세,21000,0
광주광역시 북구 각화동,84.968,전세,22000,0
광주광역시 북구 동림동,41.8588,전세,20180,0
광주광역시 북구 동림동,49.9742,전세,20000,0
광주광역시 북구 동림동,49.5111,전세,22752,0
광주광역시 북구 동림동,49.9742,전세,20000,0
광주광역시 광산구 신가동,84.6347,전세,35000,0
광주광역시 북구 동림동,49.5111,전세,20000,0
광주광역시 북구 동림동,41.8588,전세,20180,0
광주광역시 북구 신용동,46.74,월세,4424,15
광주광역시 북구 우산동,59.9494,전세,30000,0
광주광역시 광산구 선암동,79.0078,전세,15000,0
광주광역시 광산구 선암동,79.0014,월세,4000,80
광주광역시 북구 운암동,59.82,월세,2000,47
광주광역시 북구 운암동,58.7079,월세,1000,75
광주광역시 광산구 쌍암동,40.9226,월세,1000,65
광주광역시 광산구 장덕동,39.25,월세,2475,9
광주광역시 광산구 장덕동,39.96,월세,2475,9
광주광역시 광산구 장덕동,39.96,월세,2075,12
광주광역시 광산구 장덕동,39.96,월세,2075,12
광주광역시 북구 연제동,42.51,전세,5940,0
광주광역시 광산구 신창동,84.7886,월세,2000,90
광주광역시 광산구 신창동,84.7886,월세,2000,100
광주광역시 광산구 신창동,74.4762,월세,5000,90
광주광역시 북구 일곡동,48.45,월세,500,50
광주광역시 광산구 신가동,70.9346,월세,3000,80
광주광역시 광산구 신가동,84.9831,전세,36000,0
광주광역시 북구 양산동,59.985,월세,1000,45
광주광역시 북구 두암동,59.79,전세,10000,0
광주광역시 북구 동림동,59.79,전세,9600,0
광주광역시 북구 동림동,49.9742,전세,23400,0
광주광역시 광산구 수완동,79.8427,월세,5000,140
광주광역시 광산구 신가동,46.9,월세,4330,7
광주광역시 광산구 우산동,59.96,월세,5000,15
광주광역시 광산구 우산동,20.7468,월세,300,33
광주광역시 광산구 우산동,36.02,월세,2447,12
광주광역시 북구 문흥동,59.965,월세,9000,20
광주광역시 광산구 수완동,129.79,전세,54000,0
광주광역시 서구 금호동,59.99,월세,1000,60
광주광역시 동구 소태동,38.25,전세,7800,0
광주광역시 서구 금호동,84.8726,전세,30000,0
광주광역시 남구 지석동,78.3276,전세,18000,0
광주광역시 남구 지석동,84.9892,전세,20000,0
광주광역시 남구 지석동,84.9892,전세,20000,0
광주광역시 서구 쌍촌동,125.4,전세,78000,0
광주광역시 서구 금호동,49.86,월세,1000,45
광주광역시 서구 금호동,59.46,전세,16000,0
광주광역시 서구 쌍촌동,125.26,전세,70000,0
광주광역시 동구 내남동,84.9994,월세,20694,5
광주광역시 동구 용산동,84.1119,전세,33500,0
광주광역시 서구 쌍촌동,84.945,전세,25000,0
광주광역시 남구 봉선동,84.96,월세,3000,75
광주광역시 남구 봉선동,84.9925,월세,2500,140
광주광역시 서구 동천동,46.22,월세,2608,14
광주광역시 동구 계림동,39.8652,월세,500,60
광주광역시 동구 계림동,59.9709,전세,21000,0
광주광역시 북구 임동,16.8045,월세,1548,7
광주광역시 서구 화정동,59.85,전세,11500,0
광주광역시 동구 용산동,59.606,월세,19500,10
광주광역시 동구 계림동,75.9789,전세,29000,0
광주광역시 서구 치평동,59.87,전세,17500,0
광주광역시 동구 계림동,39.911,전세,19000,0
광주광역시 서구 광천동,134.5698,전세,50000,0
광주광역시 동구 학동,84.9287,전세,35500,0
광주광역시 동구 학동,84.7496,전세,40000,0
광주광역시 동구 학동,74.8513,전세,28500,0
광주광역시 북구 용봉동,84.8797,월세,4000,70
광주광역시 서구 양동,59.85,전세,8500,0
광주광역시 광산구 하남동,84.8198,월세,6000,70
광주광역시 광산구 산정동,49.9618,월세,3088,18
광주광역시 광산구 흑석동,39.72,월세,556,15
광주광역시 광산구 하남동,84.9966,전세,29000,0
광주광역시 광산구 월곡동,60,전세,7596,0
광주광역시 광산구 월곡동,59.92,전세,17500,0
광주광역시 광산구 월곡동,49.98,월세,500,45
광주광역시 광산구 월곡동,60,전세,7596,0
광주광역시 북구 동림동,45.6421,전세,18000,0
광주광역시 북구 각화동,84.9797,월세,4000,110
광주광역시 광산구 운남동,70.97,전세,17000,0
광주광역시 북구 동림동,49.5111,전세,23700,0
광주광역시 광산구 우산동,44.52,월세,300,43
광주광역시 광산구 우산동,26.03,월세,2811,10
광주광역시 광산구 우산동,36.44,월세,3190,16
광주광역시 북구 우산동,39.9687,전세,20600,0
광주광역시 광산구 산월동,84.9931,전세,23000,0
광주광역시 북구 동림동,41.9045,전세,17000,0
광주광역시 북구 문흥동,59.39,전세,9000,0
광주광역시 북구 동림동,59.77,전세,10500,0
광주광역시 북구 오치동,52.09,전세,6000,0
광주광역시 북구 일곡동,48.45,월세,8000,20
광주광역시 광산구 우산동,75.9493,전세,27000,0
광주광역시 광산구 신촌동,59.7856,월세,3933,23
광주광역시 북구 연제동,84.9934,전세,30000,0
광주광역시 광산구 신가동,46.9,월세,2781,15
광주광역시 광산구 장덕동,46.98,월세,2724,15
광주광역시 광산구 장덕동,39.96,월세,2075,12
광주광역시 광산구 장덕동,46.85,월세,2724,15
광주광역시 광산구 장덕동,46.85,월세,2724,15
광주광역시 광산구 장덕동,46.85,월세,2724,15
광주광역시 광산구 장덕동,46.98,월세,3268,18
광주광역시 광산구 장덕동,46.85,월세,2724,15
광주광역시 광산구 장덕동,46.9,월세,3724,10
광주광역시 광산구 장덕동,84.967,전세,25000,0
광주광역시 북구 양산동,59.95,전세,13500,0
광주광역시 북구 동림동,52.89,월세,1000,37
광주광역시 북구 매곡동,59.95,전세,9500,0
광주광역시 동구 계림동,84.9738,전세,35000,0
광주광역시 북구 신안동,84.8826,전세,26800,0
광주광역시 북구 신안동,84.3551,전세,24697,0
광주광역시 서구 동천동,46.76,월세,2302,15
광주광역시 동구 소태동,73.8853,전세,27000,0
광주광역시 서구 금호동,84.96,전세,22000,0
광주광역시 서구 금호동,59.94,전세,17300,0
광주광역시 서구 금호동,95.79,전세,21000,0
광주광역시 동구 계림동,39.9452,전세,16000,0
광주광역시 서구 금호동,145.279,전세,35000,0
광주광역시 서구 금호동,145.279,전세,35000,0
광주광역시 서구 쌍촌동,59.85,월세,1000,50
광주광역시 북구 용봉동,51.95,월세,3696,7
광주광역시 남구 행암동,84.9184,전세,27000,0
광주광역시 동구 내남동,84.9994,월세,20479,5
광주광역시 동구 내남동,84.9994,월세,20694,5
광주광역시 남구 주월동,84.63,전세,14000,0
광주광역시 동구 내남동,84.9994,월세,20694,5
광주광역시 남구 봉선동,59.9,월세,1000,40
광주광역시 남구 봉선동,65.5857,월세,5000,75
광주광역시 동구 계림동,39.911,전세,16000,0
광주광역시 서구 농성동,19.6832,월세,300,42
광주광역시 서구 치평동,84.93,월세,3000,95
광주광역시 남구 노대동,46.59,월세,2594,14
광주광역시 서구 금호동,59.55,월세,1000,60
광주광역시 북구 임동,59.9586,월세,3000,100
광주광역시 서구 쌍촌동,134.6961,전세,65000,0
광주광역시 서구 쌍촌동,125.26,전세,80000,0
광주광역시 서구 쌍촌동,125.26,전세,80000,0
광주광역시 동구 금남로5가,17.67,월세,200,45
광주광역시 남구 행암동,36.03,월세,1463,18
광주광역시 서구 동천동,39.65,월세,2641,7
광주광역시 서구 마륵동,84.2343,전세,30000,0
광주광역시 남구 방림동,84.6496,월세,5000,80
광주광역시 서구 농성동,84.9752,전세,32500,0
광주광역시 서구 화정동,47.01,전세,10000,0
광주광역시 서구 화정동,84.8709,전세,30000,0
광주광역시 서구 화정동,84.96,전세,34000,0
광주광역시 남구 노대동,84.96,전세,25500,0
광주광역시 남구 임암동,84.9947,전세,30500,0
광주광역시 동구 소태동,59.9834,월세,3000,100
광주광역시 남구 임암동,59.6137,월세,8290,25
광주광역시 서구 광천동,84.3359,전세,30000,0
광주광역시 광산구 장덕동,46.98,월세,3324,11
광주광역시 광산구 운남동,84.9098,전세,32000,0
광주광역시 광산구 운남동,84.9098,전세,32000,0
광주광역시 북구 동림동,49.51,월세,2628,14
광주광역시 북구 동림동,49.79,월세,1855,29
광주광역시 북구 동림동,49.5111,전세,20000,0
광주광역시 북구 동림동,41.9045,전세,17000,0
광주광역시 북구 동림동,41.9045,전세,20180,0
광주광역시 북구 각화동,101.9965,월세,5000,130
광주광역시 북구 각화동,72.65,전세,7000,0
광주광역시 광산구 장덕동,46.85,월세,2724,15
광주광역시 광산구 장덕동,39.96,월세,2275,11
광주광역시 광산구 장덕동,46.9,월세,2724,15
광주광역시 광산구 장덕동,46.9,월세,1324,19
광주광역시 광산구 장덕동,39.25,월세,2075,12
광주광역시 광산구 장덕동,46.9,월세,2724,15
광주광역시 광산구 장덕동,39.25,월세,2475,9
광주광역시 광산구 장덕동,46.9,월세,4596,9
광주광역시 광산구 장덕동,39.25,월세,3075,7
광주광역시 광산구 장덕동,46.9,월세,2724,15
광주광역시 광산구 장덕동,46.9,월세,2724,15
광주광역시 광산구 장덕동,39.25,월세,2075,12
광주광역시 광산구 장덕동,39.96,월세,2075,12
광주광역시 광산구 장덕동,46.9,월세,2724,15
광주광역시 광산구 장덕동,46.54,월세,3324,11
광주광역시 광산구 쌍암동,26.36,월세,300,37
광주광역시 북구 양산동,84.8915,전세,19000,0
광주광역시 북구 양산동,82.1661,전세,30000,0
광주광역시 북구 신용동,46.22,월세,1911,11
광주광역시 북구 신용동,46.22,월세,1911,11
광주광역시 북구 신용동,46.72,월세,4224,7
광주광역시 북구 신용동,51.79,월세,3372,19
광주광역시 북구 삼각동,32.34,월세,300,28
광주광역시 북구 삼각동,59.89,월세,9900,10
광주광역시 북구 매곡동,59.95,전세,9500,0
광주광역시 광산구 소촌동,84.9245,월세,3000,105
광주광역시 광산구 소촌동,59.985,월세,1000,40
광주광역시 광산구 비아동,39.68,월세,500,40
광주광역시 광산구 우산동,84.9629,전세,36000,0
광주광역시 광산구 우산동,59.4918,전세,15140,0
광주광역시 광산구 우산동,59.4918,전세,15140,0
광주광역시 광산구 우산동,59.7041,전세,19400,0
광주광역시 광산구 우산동,59.2255,전세,28800,0
광주광역시 광산구 우산동,84.8642,전세,29800,0
광주광역시 광산구 월계동,91.882,전세,25000,0
광주광역시 광산구 월계동,84.83,전세,21000,0
광주광역시 광산구 운수동,55.83,월세,7984,11
광주광역시 광산구 운수동,55.83,월세,7984,11
광주광역시 광산구 운수동,36.56,월세,3621,9
광주광역시 광산구 선암동,79.0078,전세,24000,0
광주광역시 광산구 신창동,68.8307,월세,400,40
광주광역시 북구 일곡동,114.623,전세,30000,0
광주광역시 광산구 수완동,84.7296,전세,35000,0
광주광역시 광산구 신가동,39.48,월세,2139,12
광주광역시 광산구 신가동,39.72,월세,2119,12
광주광역시 광산구 신가동,39.72,월세,2119,12
광주광역시 광산구 신가동,39.72,월세,2119,12
광주광역시 광산구 신가동,46.9,월세,4330,7
광주광역시 북구 우산동,84.9713,전세,34650,0
광주광역시 북구 동림동,49.9742,전세,20000,0
광주광역시 광산구 쌍암동,40.9226,월세,1000,55
광주광역시 북구 동림동,49.9742,전세,20000,0
광주광역시 광산구 선암동,64.4722,전세,21000,0
광주광역시 북구 오치동,69.18,월세,500,30
광주광역시 북구 연제동,84.9934,전세,30000,0
광주광역시 광산구 우산동,49.72,월세,500,50
광주광역시 광산구 선암동,79.0078,전세,23000,0
광주광역시 광산구 선암동,79.0078,전세,23000,0
광주광역시 광산구 선암동,79.0078,전세,23000,0
광주광역시 북구 각화동,84.968,전세,26000,0
광주광역시 서구 화정동,76.9612,전세,37000,0
광주광역시 동구 학동,39.9183,월세,3000,95
광주광역시 서구 동천동,39.65,월세,2175,11
광주광역시 서구 쌍촌동,59.97,월세,1500,50
광주광역시 남구 백운동,84.977,전세,27000,0
광주광역시 동구 학동,39.9183,월세,3000,95
광주광역시 남구 백운동,84.9664,전세,22500,0
광주광역시 동구 계림동,75.9117,전세,27500,0
광주광역시 서구 풍암동,59.95,전세,14000,0
광주광역시 남구 봉선동,59.98,월세,1000,50
광주광역시 남구 봉선동,84.9995,전세,37000,0
광주광역시 동구 용산동,76.4323,전세,23500,0
광주광역시 남구 월산동,84.9789,전세,30000,0
광주광역시 서구 농성동,19.7906,월세,300,35
광주광역시 서구 화정동,60,전세,13500,0
광주광역시 북구 용봉동,84.8097,전세,28350,0
광주광역시 남구 노대동,46.9,월세,546,20
광주광역시 북구 임동,59.8645,월세,5000,74
광주광역시 서구 치평동,59.94,월세,1000,70
광주광역시 서구 치평동,59.94,전세,16500,0
광주광역시 서구 쌍촌동,84.97,전세,50000,0
광주광역시 서구 동천동,84.95,월세,9000,50
광주광역시 남구 주월동,84.9399,전세,28000,0
광주광역시 남구 진월동,59.76,월세,1000,50
광주광역시 서구 금호동,84.7681,전세,29000,0
광주광역시 서구 금호동,84.7681,전세,29400,0
광주광역시 서구 금호동,59.55,월세,0,60
광주광역시 서구 금호동,59.82,전세,12000,0
광주광역시 광산구 월곡동,84.72,월세,1000,65
광주광역시 광산구 흑석동,84.9684,전세,28350,0
광주광역시 광산구 수완동,84.7885,전세,29400,0
광주광역시 광산구 쌍암동,19.1437,월세,500,40
광주광역시 광산구 쌍암동,19.1437,월세,500,40
광주광역시 북구 동림동,45.6421,전세,18000,0
광주광역시 북구 동림동,84.9779,전세,25000,0
광주광역시 광산구 선암동,79.0078,전세,24000,0
광주광역시 광산구 선암동,79.0078,전세,30000,0
광주광역시 광산구 월계동,78.66,전세,19500,0
광주광역시 북구 용두동,84.928,월세,3000,100
광주광역시 북구 일곡동,48.45,월세,500,45
광주광역시 북구 일곡동,59.36,전세,14300,0
광주광역시 북구 일곡동,59.935,월세,2000,60
광주광역시 북구 양산동,37.479,월세,300,45
광주광역시 광산구 월계동,78.02,월세,2000,65
광주광역시 광산구 월계동,59.93,전세,12000,0
광주광역시 광산구 수완동,84.9547,전세,33000,0
광주광역시 북구 우산동,59.9883,전세,31000,0
광주광역시 북구 두암동,31.77,전세,5750,0
광주광역시 북구 연제동,84.9934,월세,10000,63
광주광역시 북구 각화동,84.9797,월세,2000,120
광주광역시 북구 동림동,41.8588,전세,17000,0
광주광역시 북구 동림동,41.8588,전세,19950,0
광주광역시 북구 동림동,41.9045,전세,20180,0
광주광역시 북구 동림동,41.8588,전세,17000,0
광주광역시 북구 동림동,49.79,월세,2537,24
광주광역시 북구 동림동,39.77,월세,1874,11
광주광역시 북구 일곡동,59.36,월세,2000,65
광주광역시 광산구 장덕동,39.25,월세,2075,12
광주광역시 광산구 운수동,55.97,월세,7984,11
광주광역시 광산구 운수동,55.57,월세,7984,11
광주광역시 북구 신용동,84.9976,전세,36500,0
광주광역시 북구 양산동,82.1661,전세,33000,0
광주광역시 광산구 신창동,84.9882,월세,2800,110
광주광역시 광산구 신창동,74.6076,월세,3000,80
광주광역시 광산구 선암동,79.0078,전세,23000,0
광주광역시 북구 신용동,46.72,월세,524,22
광주광역시 북구 연제동,59.97,월세,7800,20
광주광역시 광산구 도천동,59.76,월세,500,50
광주광역시 광산구 소촌동,84.99,전세,13000,0
광주광역시 북구 우산동,39.9687,전세,21200,0
광주광역시 광산구 우산동,44.52,월세,300,33
광주광역시 북구 동림동,41.9045,전세,17000,0
광주광역시 북구 동림동,49.9742,전세,21855,0
광주광역시 광산구 쌍암동,40.9226,월세,1000,55
광주광역시 광산구 쌍암동,84.9593,전세,32700,0
광주광역시 북구 연제동,69.0696,월세,4000,70
광주광역시 광산구 장덕동,39.25,월세,2075,12
광주광역시 광산구 우산동,44.52,월세,300,33
광주광역시 광산구 장덕동,156.5054,전세,60000,0
광주광역시 북구 신용동,36.37,월세,1737,10
