"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-06-06 ~ 2025-06-05"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","광주광역시 서구 풍암동","1058","1058","0000","삼능남양","60.0000","202506","04","15,050","-","6","개인","개인","2000","풍암순환로 86","-","중개거래","광주 서구","-"
"2","광주광역시 남구 봉선동","127-15","0127","0015","무등파크2","84.6400","202506","04","24,700","-","16","개인","개인","1992","봉선2로 96-14","-","중개거래","광주 남구","-"
"3","광주광역시 동구 계림동","1845","1845","0000","두산위브3차(두산위브더파크)","84.9738","202506","04","49,800","-","4","개인","개인","2021","중앙로290번길 16","-","중개거래","광주 동구","-"
"4","광주광역시 북구 오치동","881-26","0881","0026","청암","31.3200","202506","04","4,000","-","5","개인","개인","1995","우치로311번길 20","-","중개거래","광주 북구","-"
"5","광주광역시 서구 금호동","805","0805","0000","남양파크","127.3400","202506","04","46,500","-","4","개인","개인","2000","화개1로78번길 13","-","중개거래","광주 서구","-"
"6","광주광역시 서구 동천동","515","0515","0000","동천 리버팰리스","84.9500","202506","04","33,000","-","4","개인","개인","2008","동천로18번길 19","-","중개거래","광주 서구","-"
"7","광주광역시 서구 동천동","515","0515","0000","동천 리버팰리스","84.9500","202506","04","31,000","-","13","개인","개인","2008","동천로18번길 19","-","중개거래","광주 서구","-"
"8","광주광역시 남구 행암동","526","0526","0000","제일풍경채에듀파크1단지","84.3565","202506","04","34,500","-","11","개인","개인","2015","효우로 332-10","-","중개거래","광주 남구","-"
"9","광주광역시 서구 화정동","1610","1610","0000","유니버시아드힐스테이트2단지","84.9700","202506","04","47,700","-","20","개인","개인","2016","화정로 211","-","중개거래","광주 서구","-"
"10","광주광역시 서구 화정동","440","0440","0000","화정우미","59.8300","202506","04","17,000","-","10","개인","개인","1996","염화로31번길 23","-","중개거래","광주 서구","-"
"11","광주광역시 북구 각화동","594","0594","0000","힐스테이트각화","84.9442","202506","04","40,900","-","2","개인","개인","2018","군왕로 295","-","중개거래","광주 북구","-"
"12","광주광역시 북구 동림동","1334","1334","0000","동림대광로제비앙","74.7877","202506","04","35,300","-","8","개인","개인","2020","운암산길 48","-","중개거래","광주 북구","-"
"13","광주광역시 북구 신용동","684","0684","0000","광주첨단2지구호반베르디움2단지","84.9419","202506","04","50,600","-","7","개인","개인","2013","첨단연신로133번길 7","-","중개거래","광주 북구","-"
"14","광주광역시 북구 용두동","1111","1111","0000","이안광주첨단아파트","84.7000","202506","04","37,900","-","16","개인","개인","2017","용두마을길 13","-","중개거래","광주 북구","-"
"15","광주광역시 광산구 장덕동","1593","1593","0000","현진에버빌2단지","84.9649","202506","04","52,800","-","4","개인","개인","2009","풍영로169번길 46","-","중개거래","광주 광산구","-"
"16","광주광역시 광산구 우산동","1572-2","1572","0002","하남우미","49.1400","202506","04","12,000","-","13","개인","개인","1992","월곡산정로 40","-","중개거래","광주 광산구","-"
"17","광주광역시 광산구 신창동","1187","1187","0000","신창부영","84.7886","202506","04","21,500","-","1","개인","개인","2005","장신로265번길 22","-","중개거래","광주 광산구","-"
"18","광주광역시 북구 신용동","651","0651","0000","한양수자인리버뷰","65.6043","202506","04","37,900","-","20","개인","개인","2014","첨단연신로 184","-","중개거래","광주 북구","-"
"19","광주광역시 광산구 월계동","764-4","0764","0004","첨단두산1차","59.9970","202506","03","20,600","-","2","개인","개인","1996","월계로 117-21","-","중개거래","광주 광산구","-"
"20","광주광역시 북구 신용동","651","0651","0000","한양수자인리버뷰","65.6043","202506","03","37,900","-","20","개인","개인","2014","첨단연신로 184","20250604","중개거래","광주 북구","-"
"21","광주광역시 광산구 신창동","855-9","0855","0009","해광샹그릴라","84.9106","202506","03","24,800","-","4","개인","개인","2005","수등로258번길 46","-","중개거래","광주 광산구","-"
"22","광주광역시 광산구 신창동","1270","1270","0000","신창2차부영","84.7886","202506","03","24,900","-","4","개인","개인","2005","신창로71번길 33","-","중개거래","광주 광산구","-"
"23","광주광역시 북구 신용동","655","0655","0000","제일풍경채리버파크","84.2363","202506","03","48,500","-","15","개인","개인","2014","첨단연신로 216","-","중개거래","광주 북구","-"
"24","광주광역시 광산구 운남동","387-22","0387","0022","삼성","59.9100","202506","03","14,600","-","14","개인","개인","1996","임방울대로 142-12","-","중개거래","광주 광산구","-"
"25","광주광역시 광산구 장덕동","1109","1109","0000","양우내안애","84.9423","202506","03","35,500","-","15","개인","개인","2008","풍영로330번길 16","-","중개거래","광주 광산구","-"
"26","광주광역시 광산구 산정동","1125","1125","0000","어등산대방노블랜드","116.1390","202506","03","53,000","-","8","개인","개인","2013","용아로297번길 17","-","중개거래","광주 광산구","-"
"27","광주광역시 광산구 신가동","1019-1","1019","0001","수동리안아파트","59.8100","202506","03","17,950","-","6","개인","개인","2002","수등로258번길 13","-","중개거래","광주 광산구","-"
"28","광주광역시 광산구 장덕동","1111","1111","0000","광주수완세영리첼","84.9871","202506","03","46,500","-","5","개인","개인","2014","풍영로 294-23","-","중개거래","광주 광산구","-"
"29","광주광역시 북구 양산동","355","0355","0000","한국","84.9300","202506","03","20,000","-","19","개인","개인","1997","양산제로 3","-","중개거래","광주 북구","-"
"30","광주광역시 북구 양산동","205-6","0205","0006","일신2차","59.9850","202506","03","17,200","-","7","개인","개인","1997","상촌로43번길 30","-","중개거래","광주 북구","-"
"31","광주광역시 광산구 장덕동","1109","1109","0000","양우내안애","84.9423","202506","03","33,900","-","1","개인","개인","2008","풍영로330번길 16","-","중개거래","광주 광산구","-"
"32","광주광역시 광산구 소촌동","506-8","0506","0008","보양맨션","58.1400","202506","03","8,000","-","5","개인","개인","1988","송정공원로23번길 1","-","직거래","-","-"
"33","광주광역시 북구 각화동","608","0608","0000","각화센트럴파크서희스타힐스","72.9796","202506","03","36,000","-","7","개인","개인","2020","동문대로249번길 19","-","중개거래","광주 북구","-"
"34","광주광역시 남구 주월동","1328","1328","0000","남구주월골드클래스어반시티","84.9717","202506","03","50,300","-","11","개인","개인","2021","서문대로812번길 4-8","-","중개거래","광주 광산구, 광주 남구","-"
"35","광주광역시 서구 풍암동","1132","1132","0000","우미광장","59.7900","202506","03","16,300","-","19","개인","개인","2000","풍암순환로 183","-","중개거래","광주 서구","-"
"36","광주광역시 동구 학동","1012","1012","0000","무등산리버파크","84.9600","202506","03","31,300","-","1","개인","개인","2011","남문로693번길 11","-","중개거래","광주 남구, 광주 동구","-"
"37","광주광역시 북구 문흥동","920","0920","0000","대주2","59.9100","202506","03","10,000","-","8","개인","개인","1988","평교로 45","-","중개거래","광주 북구","-"
"38","광주광역시 북구 일곡동","848-1","0848","0001","현대2","59.3600","202506","03","14,500","-","8","개인","개인","1998","일곡마을로 55","-","중개거래","광주 북구","-"
"39","광주광역시 남구 임암동","855","0855","0000","효천1중흥에스-클래스에코파크","84.9772","202506","03","40,000","-","7","개인","개인","2019","효천3로 110","-","중개거래","광주 남구, 광주 서구","-"
"40","광주광역시 북구 풍향동","808","0808","0000","교대금호어울림","84.9842","202506","03","48,000","-","8","개인","개인","2017","군왕로 17","-","중개거래","광주 북구","-"
"41","광주광역시 동구 소태동","1103","1103","0000","무등산골드클래스","73.9060","202506","03","38,800","-","9","개인","개인","2018","학소로 109","-","중개거래","광주 동구","-"
"42","광주광역시 서구 내방동","848","0848","0000","내방마을주공","84.0300","202506","03","27,400","-","11","개인","개인","2002","화운로193번길 25","-","중개거래","광주 광산구, 광주 서구","-"
"43","광주광역시 북구 오치동","925-1","0925","0001","금호타운","84.9400","202506","03","16,000","-","5","개인","개인","1995","서하로233번길 50","-","중개거래","광주 북구","-"
"44","광주광역시 북구 동림동","298","0298","0000","삼라마이다스","84.9810","202506","03","21,000","-","1","개인","개인","2005","동운로 141","-","중개거래","광주 서구","-"
"45","광주광역시 서구 쌍촌동","1337","1337","0000","우미아트빌2","59.8276","202506","03","27,000","-","11","개인","개인","2002","상무민주로 120","-","중개거래","광주 서구","-"
"46","광주광역시 남구 진월동","172","0172","0000","고운하이플러스2차","84.9936","202506","02","36,700","-","7","개인","개인","2008","진제길 28","-","중개거래","광주 남구","-"
"47","광주광역시 북구 두암동","947-1","0947","0001","부영","60.0000","202506","02","10,300","-","4","개인","개인","1988","삼정로 71","-","직거래","-","-"
"48","광주광역시 서구 화정동","1610","1610","0000","유니버시아드힐스테이트2단지","84.9800","202506","02","44,300","-","6","개인","개인","2016","화정로 211","-","중개거래","광주 서구","-"
"49","광주광역시 남구 봉선동","985","0985","0000","라인광장1","41.4700","202506","02","14,500","-","9","법인","개인","1987","봉선중앙로 103","-","중개거래","광주 북구","-"
"50","광주광역시 남구 봉선동","172","0172","0000","무등파크1","119.1000","202506","02","28,000","-","2","개인","개인","1992","용대로 115","-","중개거래","광주 남구, 광주 서구","-"
"51","광주광역시 서구 풍암동","1132","1132","0000","우미광장","59.9550","202506","02","17,000","-","10","개인","개인","2000","풍암순환로 183","-","중개거래","광주 서구","-"
"52","광주광역시 서구 풍암동","1127","1127","0000","주은모아","59.2800","202506","02","17,200","-","6","개인","개인","2000","풍암2로 36","-","중개거래","광주 서구","-"
"53","광주광역시 북구 동림동","1330","1330","0000","운암산코오롱하늘채","64.2602","202506","02","30,500","-","8","개인","개인","2018","동배마을길 29","-","중개거래","광주 북구","-"
"54","광주광역시 북구 각화동","594","0594","0000","힐스테이트각화","84.9442","202506","02","43,300","-","25","개인","개인","2018","군왕로 295","-","중개거래","광주 북구","-"
